beta,outlierRatio,repeat,seed,Ncorr,Ns,trueTLS,bestASBS_TLS,bestRandom_TLS,bestASBS_rotErrDeg,bestRandom_rotErrDeg,medianSample_rotErrDeg,fracSamplesBelow5Deg,fracSamplesBelow10Deg,activeCount,trueInliersActive,trueOutliersClipped,lossUFinal,lossHFinal,bestTrainFinal,bestTrainOverall
2,0.25,1,126300,1000,10000,3439.11406474969,3447.73696612012,4314.3633674264,0.841950290097527,8.44889456526952,15.3678735356207,0.0337,0.2004,731,727,246,323689920,11.8469924926758,3509.24209655093,3438.5700287207
4,0.25,1,126500,1000,500,3440.97253261402,3479.60203090302,4803.11751375362,1.55406173407793,10.6411737758338,15.0763143726488,0.032,0.208,734,730,246,1299085184,11.8669443130493,3450.96639079428,3439.91004024673
4,0.25,1,126500,1000,1000,3440.97253261402,3457.1431437291,4803.11751375362,1.3575460093455,10.6411737758338,15.1366440246321,0.028,0.209,734,730,246,1299085184,11.8669443130493,3450.96639079428,3439.91004024673
4,0.25,1,126500,1000,2500,3440.97253261402,3457.1431437291,4803.11751375362,1.3575460093455,10.6411737758338,15.0910495083765,0.0312,0.21,734,730,246,1299085184,11.8669443130493,3450.96639079428,3439.91004024673
4,0.25,1,126500,1000,5000,3440.97253261402,3457.1431437291,4342.12115117136,1.3575460093455,8.68000933808604,15.2152648076822,0.03,0.2072,734,730,246,1299085184,11.8669443130493,3450.96639079428,3439.91004024673
4,0.25,1,126500,1000,10000,3440.97253261402,3442.41865853437,3491.87632153839,0.737017962302087,2.12640554679658,15.1226841429418,0.0296,0.2103,737,733,246,1299085184,11.8669443130493,3450.96639079428,3439.91004024673
0.25,0.5,1,151125,1000,500,4819.56701653835,4853.63940765168,7127.81848810257,2.01222023343522,23.6726353209254,14.9569925734676,0.042,0.198,500,490,490,2285989.75,11.825366973877,4829.19609777806,4819.71845938233
0.25,0.5,1,151125,1000,1000,4819.56701653835,4853.63940765168,6430.2664931569,2.01222023343522,15.9680426612972,15.1651231041865,0.033,0.204,500,490,490,2285989.75,11.825366973877,4829.19609777806,4819.71845938233
0.25,0.5,1,151125,1000,2500,4819.56701653835,4853.63940765168,6430.2664931569,2.01222023343522,15.9680426612972,15.2746386587528,0.0336,0.202,500,490,490,2285989.75,11.825366973877,4829.19609777806,4819.71845938233
0.25,0.5,1,151125,1000,5000,4819.56701653835,4836.59887382515,5990.19822022266,1.28471175796989,12.6224951641444,15.3961021198765,0.0306,0.2012,500,493,493,2285989.75,11.825366973877,4829.19609777806,4819.71845938233
0.25,0.5,1,151125,1000,10000,4819.56701653835,4822.30461910185,5419.44021341686,0.708990377344878,8.41324419890742,15.4823675875889,0.03,0.2016,502,495,493,2285989.75,11.825366973877,4829.19609777806,4819.71845938233
0.5,0.5,1,151150,1000,500,4790.42756654679,4802.06135121746,5742.73735542869,1.08665354614278,10.6839824907552,15.93077927426,0.02,0.198,501,491,490,9811227,11.5680227279663,4794.32041594678,4790.71921134833
0.5,0.5,1,151150,1000,1000,4790.42756654679,4802.06135121746,5742.73735542869,1.08665354614278,10.6839824907552,15.6261570987408,0.022,0.202,501,491,490,9811227,11.5680227279663,4794.32041594678,4790.71921134833
0.5,0.5,1,151150,1000,2500,4790.42756654679,4802.06135121746,5742.73735542869,1.08665354614278,10.6839824907552,15.5704392105608,0.032,0.1976,501,491,490,9811227,11.5680227279663,4794.32041594678,4790.71921134833
0.5,0.5,1,151150,1000,5000,4790.42756654679,4802.06135121746,5742.73735542869,1.08665354614278,10.6839824907552,15.5476629303626,0.0334,0.1952,501,491,490,9811227,11.5680227279663,4794.32041594678,4790.71921134833
0.5,0.5,1,151150,1000,10000,4790.42756654679,4797.99448753417,5037.5399961769,1.08420616222074,5.42049188969644,15.6207310581587,0.0315,0.1923,501,490,489,9811227,11.5680227279663,4794.32041594678,4790.71921134833
1,0.5,1,151200,1000,500,4799.82848974691,4805.16132859124,7190.40291273991,0.588354099919455,23.2897630677601,15.176971479889,0.028,0.204,505,496,491,36483268,11.6276779174805,4836.02954422994,4799.8182850344
1,0.5,1,151200,1000,1000,4799.82848974691,4805.16132859124,6369.88480530805,0.588354099919455,15.2975161647175,15.4000490314445,0.03,0.193,505,496,491,36483268,11.6276779174805,4836.02954422994,4799.8182850344
1,0.5,1,151200,1000,2500,4799.82848974691,4805.16132859124,5753.35870041458,0.588354099919455,10.5185842868503,15.0515676952711,0.0356,0.1964,505,496,491,36483268,11.6276779174805,4836.02954422994,4799.8182850344
1,0.5,1,151200,1000,5000,4799.82848974691,4805.16132859124,5621.51710686589,0.588354099919455,10.199058064717,15.5272019566501,0.0376,0.195,505,496,491,36483268,11.6276779174805,4836.02954422994,4799.8182850344
1,0.5,1,151200,1000,10000,4799.82848974691,4801.42091381915,5193.14040475871,0.670572262205434,6.50614483173356,15.6978249467167,0.0359,0.1907,504,496,492,36483268,11.6276779174805,4836.02954422994,4799.8182850344
2,0.5,1,151300,1000,500,4906.81509244918,4933.72644150024,6085.47514454417,2.21321407104453,12.9889199527552,15.4093053944099,0.034,0.176,495,486,491,141385264,12.1949272155762,4943.97217775522,4905.88189079735
2,0.5,1,151300,1000,1000,4906.81509244918,4920.39628937204,5872.73046065681,1.6292639128583,11.3993472249662,15.4431451058803,0.04,0.195,498,488,490,141385264,12.1949272155762,4943.97217775522,4905.88189079735
2,0.5,1,151300,1000,2500,4906.81509244918,4909.42887344597,5872.73046065681,1.05762367828596,11.3993472249662,15.5236089649352,0.0384,0.2032,494,485,491,141385264,12.1949272155762,4943.97217775522,4905.88189079735
2,0.5,1,151300,1000,5000,4906.81509244918,4909.42887344597,5495.45335417813,1.05762367828596,8.34937926425781,15.4994695135885,0.0354,0.2016,494,485,491,141385264,12.1949272155762,4943.97217775522,4905.88189079735
